"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2806","LOGIN_06 : User can navigate from login to register page","chromium","2026-09-24","passed","2026-09-24","login scenarios","login.spec.ts","",""
"","3440","LOGIN_03 : Login fails with unregistered email","chromium","2026-09-24","passed","2026-09-24","login scenarios","login.spec.ts","",""
"","2026","REGISTER_03 : Registration validates password mismatch rules","chromium","2026-09-24","passed","2026-09-24","register scenarios","register.spec.ts","",""
"","5128","REGISTER_07 : user can navigate to API documentation","chromium","2026-09-24","passed","2026-09-24","register scenarios","register.spec.ts","",""
"","3153","LOGIN_02 : Login fails with invalid password","chromium","2026-09-24","passed","2026-09-24","login scenarios","login.spec.ts","",""
"","2102","LOGIN_04 : Login enforces empty field validation","chromium","2026-09-24","passed","2026-09-24","login scenarios","login.spec.ts","",""
"","3333","REGISTER_02 : Registration fails when using an existing email","chromium","2026-09-24","passed","2026-09-24","register scenarios","register.spec.ts","",""
"","0","REGISTER_01 : User can register successfully with valid details","chromium","2026-09-24","skipped","2026-09-24","register scenarios","register.spec.ts","",""
"","5604","LOGIN_01 : User can login successfully with valid credentials","chromium","2026-09-24","passed","2026-09-24","login scenarios","login.spec.ts","",""
"","1922","REGISTER_04 : Registration requires all mandatory fields","chromium","2026-09-24","passed","2026-09-24","register scenarios","register.spec.ts","",""
"","5087","LOGIN_07 : user can navigate to API documentation","chromium","2026-09-24","passed","2026-09-24","login scenarios","login.spec.ts","",""
"","2296","REGISTER_05 : Marketing section renders correctly on register page","chromium","2026-09-24","passed","2026-09-24","register scenarios","register.spec.ts","",""
"","2759","REGISTER_06 : User can navigate from register to login page","chromium","2026-09-24","passed","2026-09-24","register scenarios","register.spec.ts","",""
"","1861","LOGIN_05 : Marketing section renders correctly on login page","chromium","2026-09-24","passed","2026-09-24","login scenarios","login.spec.ts","",""
